~/src/pcass $ sudo tshark -i br-99ff889e5d1d -Y "tcp.port == 7000" -T fields -d tcp.port==7000,echo -e frame.time -e ip.src -e tcp.srcport -e ip.dst -e tcp.dstport -e tcp.len -e tcp.seq -e tcp.stream -e echo.data                                                                                
Feb 25, 2024 22:00:21.043295615 UTC     172.19.0.4      32984   172.19.0.3      7000    133     2101    4       7b0002cd69a98dc1e2488931c493e00e00006e000e63342d342e302d636c7573746572002b6f72672e6170616368652e63617373616e6472612e6468742e4d75726d757233506172746974696f6e65720000000306ac1300031b5865dbb4410000047106ac1300041b5865dbb4410000047606ac1300021b5865dbb3ef000004c52f18e2ef
Feb 25, 2024 22:00:21.043374986 UTC     172.19.0.3      7000    172.19.0.4      32984   0       1       4
Feb 25, 2024 22:00:21.043951302 UTC     172.19.0.3      53178   172.19.0.4      7000    46      2406    5       24000252cdd38dace2488931c493e00f0000170000000106ac1300041b5865dbb441000004750000000068f2a723
Feb 25, 2024 22:00:21.043996007 UTC     172.19.0.4      7000    172.19.0.3      53178   0       1       5
Feb 25, 2024 22:00:21.044599446 UTC     172.19.0.4      32984   172.19.0.3      7000    46      2234    4       24000252cdd38dc2e2488933c493e0100000170000000106ac1300041b5865dbb4410000047600000000ce26154a
Feb 25, 2024 22:00:21.044647992 UTC     172.19.0.3      7000    172.19.0.4      32984   0       1       4
Feb 25, 2024 22:00:21.140159099 UTC     172.19.0.2      56944   172.19.0.3      7000    133     3008    2       7b0002cd69a98ef2e2488992c493e00e00006e000e63342d342e302d636c7573746572002b6f72672e6170616368652e63617373616e6472612e6468742e4d75726d757233506172746974696f6e65720000000306ac1300031b5865dbb4410000047106ac1300041b5865dbb4410000047506ac1300021b5865dbb3ef000004c655f6d73e
Feb 25, 2024 22:00:21.140216153 UTC     172.19.0.3      7000    172.19.0.2      56944   0       1       2
Feb 25, 2024 22:00:21.140976102 UTC     172.19.0.3      60370   172.19.0.2      7000    65      3495    3       370002d650b08dade2488992c493e00f00002a0000000106ac1300021b5865dbb3ef000004c50000000106ac1300041b5865dbb4410000047600000000396a979d
Feb 25, 2024 22:00:21.141042405 UTC     172.19.0.2      7000    172.19.0.3      60370   0       1       3
Feb 25, 2024 22:00:21.142793159 UTC     172.19.0.2      56944   172.19.0.3      7000    46      3141    2       24000252cdd38ef3e2488994c493e0100000170000000106ac1300021b5865dbb3ef000004c60000000016efe9fc
Feb 25, 2024 22:00:21.142831977 UTC     172.19.0.3      7000    172.19.0.2      56944   0       1       2
Feb 25, 2024 22:00:21.234713930 UTC     172.19.0.3      53178   172.19.0.4      7000    133     2452    5       7b0002cd69a98daee24889f1c493e00e00006e000e63342d342e302d636c7573746572002b6f72672e6170616368652e63617373616e6472612e6468742e4d75726d757233506172746974696f6e65720000000306ac1300021b5865dbb3ef000004c606ac1300041b5865dbb4410000047606ac1300031b5865dbb441000004724614133e
Feb 25, 2024 22:00:21.234805190 UTC     172.19.0.4      7000    172.19.0.3      53178   0       1       5
Feb 25, 2024 22:00:21.234998748 UTC     172.19.0.3      60370   172.19.0.2      7000    133     3560    3       7b0002cd69a98daee24889f1c493e00e00006e000e63342d342e302d636c7573746572002b6f72672e6170616368652e63617373616e6472612e6468742e4d75726d757233506172746974696f6e65720000000306ac1300021b5865dbb3ef000004c606ac1300041b5865dbb4410000047606ac1300031b5865dbb441000004724614133e
Feb 25, 2024 22:00:21.235029742 UTC     172.19.0.2      7000    172.19.0.3      60370   0       1       3
Feb 25, 2024 22:00:21.235379326 UTC     172.19.0.4      32984   172.19.0.3      7000    61      2280    4       330002bd9f868dc3e24889f1c493e00f0000260000000206ac1300021b5865dbb3ef000004c506ac1300031b5865dbb441000004710000000049d322d8
Feb 25, 2024 22:00:21.235411201 UTC     172.19.0.3      7000    172.19.0.4      32984   0       1       4
Feb 25, 2024 22:00:21.235955221 UTC     172.19.0.3      53178   172.19.0.4      7000    65      2585    5       370002d650b08dafe24889f1c493e01000002a0000000206ac1300031b5865dbb441000004720000000006ac1300021b5865dbb3ef000004c60000000054653ad5
Feb 25, 2024 22:00:21.236006545 UTC     172.19.0.4      7000    172.19.0.3      53178   0       1       5
Feb 25, 2024 22:00:21.236546814 UTC     172.19.0.2      56944   172.19.0.3      7000    46      3187    2       24000252cdd38ef4e24889f2c493e00f0000170000000106ac1300031b5865dbb44100000471000000005aa2e14a
Feb 25, 2024 22:00:21.236591125 UTC     172.19.0.3      7000    172.19.0.2      56944   0       1       2
Feb 25, 2024 22:00:21.237078253 UTC     172.19.0.3      60370   172.19.0.2      7000    46      3693    3       24000252cdd38db0e24889f3c493e0100000170000000106ac1300031b5865dbb441000004720000000033346745
Feb 25, 2024 22:00:21.237116617 UTC     172.19.0.2      7000    172.19.0.3      60370   0       1       3
